subject,predicate,object,start_date,end_date
Siege of Colonia del Sacramento,participant,Kingdom of Portugal,1704-12-01,1705-02-01
Battle of Cabrita Point,participant,Kingdom of Portugal,1705-03-21,1705-03-21
Siege of Ciudad Rodrigo,participant,Kingdom of Portugal,1706-05-25,1706-05-25
Siege of Ciudad Rodrigo,participant,Kingdom of Portugal,1707-09-18,1707-10-04
Battle of La Gudiña,participant,Kingdom of Portugal,1709-05-07,1709-05-07
Battle of Rio de Janeiro,participant,Kingdom of Portugal,1710-09-19,1710-09-19
Battle of Rio de Janeiro,participant,Kingdom of Portugal,1711-09-12,1711-09-22
Siege of Campo Maior,participant,Kingdom of Portugal,1712-09-28,1712-10-29
Battle of Surat,participant,Kingdom of Portugal,1714-02-19,1714-02-19
Siege of Corfu,participant,Kingdom of Portugal,1716-07-08,1716-08-21
Battle of Matapan,participant,Kingdom of Portugal,1717-07-19,1717-07-19
Capture of the Virgin of the Cape,participant,Portugal,1721-04-26,1721-04-26
Cabinda expedition,participant,Kingdom of Portugal,1723-09-23,1723-09-25
Maratha–Portuguese War,participant,Portuguese Empire,1729-05-01,1732-01-30
Siege of Colonia del Sacramento,participant,Portuguese Empire,1735-10-01,1737-09-01
Spanish–Portuguese War of 1735-1737,participant,Portuguese Empire,1735-10-14,1737-08-01
Battle of Vasai,participant,Portuguese Empire,1739-02-17,1739-05-16
Siege of Tiracol,participant,Portuguese Empire,1746-01-01,1746-01-01
Siege of Alorna,participant,Portuguese Empire,1746-05-04,1746-05-04
Battle of Calicut,participant,Portuguese Empire,1752-12-11,1752-12-11
Guaraní War,participant,Kingdom of Portugal,1756-02-01,1756-02-01
Battle of Caiboaté,participant,Kingdom of Portugal,1756-02-10,1756-02-10
Seven Years' War,participant,Kingdom of Portugal,1756-05-17,1763-02-15
Spanish–Portuguese War of 1762–1763,participant,Kingdom of Portugal,1762-01-01,1763-01-01
Anglo-Spanish War,participant,Kingdom of Portugal,1762-01-01,1763-01-01
Spanish invasion of Portugal,participant,Kingdom of Portugal,1762-05-05,1762-11-24
Battle of Valencia de Alcántara,participant,Kingdom of Portugal,1762-08-27,1762-08-27
Battle of Alvito,participant,Kingdom of Portugal,1762-10-03,1762-10-03
Battle of Oughela,participant,Kingdom of Portugal,1762-11-19,1762-11-19
Portuguese–Ovimbundu War,participant,Kingdom of Portugal,1774-01-01,1778-01-01
Spanish–Portuguese War of 1776-1777,participant,Portuguese Empire,1776-02-01,1777-02-24
Action of 26 May 1789,participant,Kingdom of Portugal,1789-05-26,1789-05-26
French Revolutionary Wars,participant,Kingdom of Portugal,1792-04-20,1802-03-25
War of the Pyrenees,participant,Kingdom of Portugal,1793-03-07,1795-07-22
Battle of Villelongue,participant,Kingdom of Portugal,1793-12-07,1793-12-18
First Battle of Sant Llorenç de la Muga,participant,Kingdom of Portugal,1794-05-19,1794-05-19
Battle of Bascara,participant,Kingdom of Portugal,1795-06-14,1795-06-14
War of the Second Coalition,participant,Kingdom of Portugal,1798-01-01,1801-01-01
Action of 15 August 1799,participant,Kingdom of Portugal,1799-08-15,1799-08-15
Battle of Flor da Rosa,participant,Kingdom of Portugal,1801-06-04,1801-06-04
Algeciras Campaign,participant,Portugal,1801-06-13,1801-07-14
Second Battle of Algeciras,participant,Portugal,1801-07-12,1801-07-13
Action of 27 May 1802,participant,Kingdom of Portugal,1802-05-27,1802-05-27
Caribbean campaign of 1803–1810,participant,Kingdom of Portugal,1803-01-01,1810-01-01
French invasions of Portugal,participant,Kingdom of Portugal,1807-11-19,1811-04-01
Invasion of Portugal,participant,Kingdom of Portugal,1807-11-19,1807-11-30
Peninsular War,participant,Kingdom of Portugal,1808-05-02,1814-04-17
Battle of Roliça,participant,Kingdom of Portugal,1808-08-17,1808-08-17
Second French invasion of Portugal,participant,Kingdom of Portugal,1809-02-03,1809-05-12
Battle of the Tiger's Mouth,participant,Portugal,1809-09-01,1809-09-01
Third French invasion of Portugal,participant,Kingdom of Portugal,1810-07-01,1811-04-01
Battle of Fuente de Cantos,participant,Kingdom of Portugal,1810-09-15,1810-09-15
Battle of Évora de Alcobaça,participant,Kingdom of Portugal,1810-12-08,1810-12-08
Battle of El Bodon,participant,Kingdom of Portugal,1811-09-25,1811-09-25
Combat of Aldea da Ponte,participant,Kingdom of Portugal,1811-09-27,1811-09-27
Battle of Almaraz,participant,Kingdom of Portugal,1812-05-18,1812-05-19
Battle of Seville,participant,Kingdom of Portugal,1812-08-27,1812-08-27
Battle of San Muñoz,participant,Kingdom of Portugal,1812-11-12,1812-11-12
Battle of San Millan-Osma,participant,Kingdom of Portugal,1813-06-18,1813-06-18
Pyrenees Offensive,participant,Kingdom of Portugal,1813-07-25,1813-08-02
Battle of the Bidassoa,participant,Kingdom of Portugal,1813-10-07,1813-10-07
Campaign in south-west France,participant,Kingdom of Portugal,1813-10-07,1814-04-18
Battle of Nivelle,participant,Kingdom of Portugal,1813-11-10,1813-11-10
Battle of the Nive,participant,Kingdom of Portugal,1813-12-09,1813-12-13
Battle of Garris,participant,Kingdom of Portugal,1814-02-15,1814-02-15
Battle of Orthez,participant,Kingdom of Portugal,1814-02-27,1814-02-27
Battle of Bayonne,participant,Kingdom of Portugal,1814-02-27,1814-06-05
Battle of Aire-sur-l'Adour,participant,Kingdom of Portugal,1814-03-02,1814-03-02
Battle of Tarbes,participant,Kingdom of Portugal,1814-03-20,1814-03-20
Battle of Toulouse,participant,Kingdom of Portugal,1814-04-10,1814-04-10
Hundred Days,participant,Portugal,1815-03-20,1815-07-08
Portugal–Angoche conflict,participant,Portuguese Empire,1847-07-01,1910-01-01
Passaleão incident,participant,Portuguese Empire,1849-08-25,1849-08-25
Battle of Buaró,participant,Portuguese Empire,1886-01-01,1886-01-01
Battle of Mansomine,participant,Portuguese Empire,1886-07-01,1886-07-01
Battle of Fancá,participant,Portuguese Empire,1886-09-06,1886-09-06
Battle of Mugenga,participant,Portuguese Empire,1896-10-19,1896-10-20
American–Portuguese conflicts,participant,Portuguese Empire,1900-01-01,2000-01-01
Operation Deliberate Force,participant,Portugal,1995-08-30,1995-09-20
Kosovo War,participant,Portugal,1998-02-27,1999-06-11
